iso3_code,country_name,our_gdp_pct,oecd_gdp_pct,diff,ratio
ARG,Argentina,1.771399110870831,1.8,-0.028600889129169138,0.9841106171504616
AUS,Australia,5.458439071725081,2.4,3.0584390717250813,2.274349613218784
CHL,Chile,2.0080714214500146,3.3,-1.2919285785499852,0.6085064913484893
CRI,Costa Rica,9.10116569061019,4.8,4.30116569061019,1.8960761855437895
HRV,Croatia,25.748568396273168,11.8,13.948568396273167,2.182082067480777
CZE,Czechia,4.591480117409648,2.9,1.691480117409648,1.583269006003327
DNK,Denmark,2.0375727374588894,2.1,-0.06242726254111064,0.9702727321232807
FRA,France,4.479499137041025,4.1,0.37949913704102567,1.0925607651319575
HUN,Hungary,9.181819556748316,4.0,5.181819556748316,2.295454889187079
ISL,Iceland,8.085957980748486,8.0,0.0859579807484856,1.0107447475935607
IDN,Indonesia,2.636252768848946,5.0,-2.363747231151054,0.5272505537697892
JPN,Japan,2.4435907367734786,2.0,0.4435907367734786,1.2217953683867393
MEX,Mexico,2.9224846402859916,8.1,-5.177515359714008,0.3608005728748138
MAR,Morocco,12.388940194977584,6.8,5.588940194977584,1.8219029698496447
PER,Peru,3.2521734190783587,3.9,-0.6478265809216412,0.8338906202765023
ROU,Romania,2.2166213151295815,3.0,-0.7833786848704185,0.7388737717098605
SAU,Saudi Arabia,3.2019563513990565,3.6,-0.39804364860094354,0.8894323198330712
ZAF,South Africa,4.519064197110455,3.7,0.8190641971104551,1.2213687019217445
ESP,Spain,4.611016230901005,12.4,-7.788983769098995,0.3718561476533069
